排序,分组,领域,评估项目,操作描述,所需材料,适用年龄,是否必答,评分说明_2_通过,评分说明_1_萌芽,评分说明_0_不通过
52,功能发展,手眼协调,照样画三角形,同3 2,同31,,是,在3次试画中孩子不需示范至少有一次能照样画小了一个三角形．这个三角形必须是闭合的图形，在任何一边没有大的缺口．而且三角形三边的长度近似相等，三个角要颇具角的形状．三边允许稍稍呈波浪状．如果他所画的三角形有点象等腰三角形，或直角三角形，也可评为通过,孩子能设法画出三角形，但他画的三角形不是一个闭合的图形．三边长度显然不相等，三个角不成形．如果孩子画的三角形的三边明显呈波浪形，  或他需要示范才能试着去做或完成此项目，也可评为中间反应,孩子不能或者也不试着去画三角形(如他所画的图形一点也不象三角形等)
53,功能发展,手眼协调,画菱形,同3 2,同31,,是,在3次试画中孩子不需示范至少有一次能照样画㈩了一个菱形．菱形必须是一合闭合图形，任何一边没有大的缺口．四边应当长度相近，且菱形的。四条线必须相当直,孩子能设法画出菱形，但他画的菱形不是一个闭合的图形．四边长度也显然不相近，且线条明显呈波浪状．如果孩子需要示范才能试着去做或完成此项目，也可评为中间反应,孩子不能或者也不试着去面菱形(如所画的图形一点也不象菱形等)
54,功能发展,手眼协调,在小兔子图片的线条范围内着色,打开小册子翻到小兔子的图片那一页，向孩子说明去给免予的尾巴、耳朵或脚着色，孩子不必给整个图片着色．,同31,,是,孩子基本能在兔子尾巴、耳朵、脚的线条范围内着色,孩子未能设法在线条范围内着色，但一般说来还是按照兔子的尾巴、耳朵或脚的轮廓着色,孩子不能或者也不试着在线条范围内着色(如在整页上到处乱涂)
55,功能发展,手眼协调,匹配9个汉字,打开书写本翻到汉字表这一页，把它放到孩子面前。递给他汉字卡“大”并指着汉字表，向他说明拿手中的汉字卡与汉字表上对应的汉字匹配(“把它放到同样的：产上”)．对余下的8个汉字逐个随意选择，重复相同的实施步骤．可是务必每次只给孩子一个汉字。如果孩子一开始难以理解此项目，就用汉字卡“大”做示范．然后把汉字卡“大”拿起来还给孩子。再次向他说明去将这些汉字配对．在该项任务(第一次试配)结束时，如果孩子仅将一个汉字匹配正确，要再次重复整个实施过程．,汉字表以及9张汉字卡(大、小、人、头、手、日、月、土、木),,是,孩子在第一次试配时就能把全部九个汉字匹配起来,在两次试配中，孩子至少能将一个汉字匹配起来,孩子不能或也不试着去匹配任何一个汉字
56,功能发展,口语认知,表达性辨认9个汉字,把9张汉字卡放在桌子上，任意指着一个汉字，问孩子“这是什么字?”．对其余的汉字也重复同样实施．如果孩子似乎难于理解此项任务，则为他辨认第一个汉字．,同38A,,是,孩子能正确读认所有9个汉字,孩子下少能正确读认一个汉字或者他把所有9个汉字那读成同一个字(如把所有汉字都读成是“人”),孩子不能正确读认任何一个汉字或者也不试着去这样做
57,功能发展,认知表现,接受性辨认9个汉字,把9个汉字卡放在桌上。任意选择一个字，让孩子把字卡递给你(例如“把‘大’字递给我”)。不论孩子给你哪一个字，都要把它放回原处．对余下的字重复同样实施。在你要求他把另一个字拿给你之前，务必把光递给你的宇放回原处．在该项任务(第一次试认)结束时，如果孩子递给你的字仅有一个正确，要再次重复整个实施过程。,同38A,,是,孩子在第一次试认时就正确地递给你全部9个汉字卡,孩子在两次试认中至少能正确地递给你一个汉字卡,孩子不能正确地递给你任何一个汉字卡或者他也不试看去这样做
58,功能发展,手眼协调,抄写7个汉字(十、工、上、下、左、右、天),打开小册子，翻到适当的一页，放在孩子面前。指着第一个字说明让他照着写(“你来照着写”)。孩子应当直接在样本下面抄写这些汉字．,同38A,,是,孩子能正确地抄写全部7个汉字,孩子能抄写或者设法抄写出至少其中一个汉字(例如他抄写的字是可辨认的),孩子不能或者也不试着去写任何一个字(如他写出的没有一个可以辨认)
59,功能发展,精细动作,画一个人,打开小册子，翻到空白页，放在孩子面前．要他去“画一个人”．或“画一个小男孩或小女孩”。经过相当一段时间之后，如果孩子还没有开始画，就示范给他看。你作画不必精心描绘，但也不要画成呆头呆脑的形笔。然后再次向他说明去画一个人。画人这项任务结束时，如果孩子的画是不完整的．要问他：你画完了吗?”但不要提示画中缺少什么。,同38A,,是,孩子不需要任何示范就能清晰地画出一个人来(头、躯体、胳膊、腿以及包括至少一个曲部细节，如双眼、嘴、头发等),孩子设法去画人，但他的画不完整(如他只画了—个头或一个头与两条腿连在一起)。如果他需要示范来试着去做或完成此项任务，也可评为中间反应。通过：孩子不能或者也不试着去画人(如他的画根本不象人等),孩子不能或者也不试着去画人(如他的画根本不象人等)
60,功能发展,认知表现,写出自己的名字,翻开小册子中空白一页放在孩子面前．告诉他“写你的名字”。过了相当一段时间后，  如果孩子还没有这样做，那么你用印刷体写上他的名字．然后再次向他说明去照着写．,同38A,,是,孩子不经示范就能正确地写下自己的名字,孩子设法写出他的名字，但写得不准确或不完整(例如仅写下名字的—部分或笔划有误等)：或者他需要示范才试着去做或完成这一项目,孩子不能或者也不动笔试着去写他自己的名字
61,行为表现,感觉,无利手,在实施3 1—4 1项目时注意孩子是否明晰地显示出利手，在表一的表头上记录孩子偏用哪只手或不用哪只手。年龄较大的孩子应当比较小的孩子更能清楚地确定．年龄较大的孩子没有利手是一种病理反映．,手,,是,孩子能明显地展示出利手,孩子能展示利手，但就孩子年龄来说较不稳定,孩子没有显示利于
62,功能发展,认知表现,在小袋内通过触摸来辨认5种物品,把装有物品的袋子放在孩子面前的桌子上．不让孩子往袋子里看，要他把手伸进袋子，  告诉他把你所要求的每一件物品拿出来．例如让孩子拿给你一支铅笔(不得往袋子里面看)．对其余物品重复同样实施．在要求拿出另一样东西之前，务必要把先前拿出的东西放回到袋子里去．如果孩子没能拿出所要求拿出的物品，测试者可以一面叫出物品的名称，一面举起相同的东西(给孩子看)．,一只小口袋，内有一支铅笔，一块积木，一支腊笔，一只球以及一枚硬币,,是,孩子能完全凭触觉递给你至少4件物品,孩子能完全凭触觉至少递给你一件物品或者要求具体示范,孩子不能或也不试图递给你任何一件物品
62,功能发展,精细动作,在小袋内通过触摸来辨认5种物品,把装有物品的袋子放在孩子面前的桌子上．不让孩子往袋子里看，要他把手伸进袋子，  告诉他把你所要求的每一件物品拿出来．例如让孩子拿给你一支铅笔(不得往袋子里面看)．对其余物品重复同样实施．在要求拿出另一样东西之前，务必要把先前拿出的东西放回到袋子里去．如果孩子没能拿出所要求拿出的物品，测试者可以一面叫出物品的名称，一面举起相同的东西(给孩子看)．,一只小口袋，内有一支铅笔，一块积木，一支腊笔，一只球以及一枚硬币,,是,孩子能递给你所要求的至少4种物品,孩子能递给你至少一种物品,孩子不能或者也不试图递给你任何一件物品
63,功能发展,认知表现,在一块毡板上用毡块贴出男孩的图象,把毡板和毡块放在孩子面前的桌子上．用其中一块作示范，告诉孩子怎样往毡板上贴毡片。然后把这片拿下来放回到桌子，向他说明把这些毡片放在一起贴出一个男孩的图象．过了相当一段时间之后，如果孩子仍难于理解这一项目，就用所有毡片做示范．然后让孩子再试一次。在项目结束时，如果孩子还没有用完所有毡片，指着余下的毡片要他去完成。如果孩子用一种独特的方式使用这些毡片中的任何一片(例如把眼睛当作纽扣或者把头发当成胡子等)要他作出解释。,一块毡板，九块毡片(脸，带胳膊的躯体，两条腿，头发，眼睛，鼻子和嘴),,是,孩子不需示范就能正确地贴出男孩的图象,孩子能部分地贴出男孩的图象<如把眼睛放在脸上，或把头和腿放在一起等)或者他需要示范来试着做或完成这项任务,孩子不能或者也不试图去贴出男孩图象(如把毡片堆起来，任意地把毡片放到毡板上，弄得到处都是：或者完成的图象一点也不象男孩等)
64,功能发展,精细动作,用剪子剪纸,示范给孩子看如何用剪㈠剪纸，然后向他说明照着去做。把纸和剪刀递给孩子．,一张纸、一把剪子,,是,孩子能用剪刀剪纸(如在纸上剪出一些小口或剪成狭长的一条),孩子设法剪爪，虽末剪成，但似乎知道必要的动作,孩子未能设法叭纸，而且似乎也不知道必要的动作；或者他也不试着去做
65,行为表现,游戏及对物的兴趣,不适当地独自游戏,注意孩子在非结构化游戏时间内是如何独自一人玩的．,无注意：非结构化游戏阶段是一个自由游戏的阶段，用来观察孩子在没有指令的情况下是如何使用非结构化时间的．向孩子说明除了那些还未使用过的测试物品以外，他可以独自玩他想要玩的任何东西．你坐在桌子旁，至少在两分钟之内不要与孩子讲话或同他一起玩．,,是,孩子能以适当的方式独自玩，合情合理地使用这些物品,孩子玩的方式有点不适当：或对玩一点兴趣也没有,孩子以不适当的方式独自玩(如没有条理，错误使用物品，用玩具从事不适当的活动等)
66,行为表现,人际关系,不能与测试者进行互动,在非结构化游戏过程中注意孩子是否想引起你的注意．他的意图可能是用语言表达的(如“现在我该做什么?”或“你在做什么?”)，或非语言的(如看着你，拍你的肩膀，设法坐在你腿上等)，你可以对孩子进行互动的企图做出反应，但不必拖延时间．,无,,是,孩子能使用语言或非语言手段与你进行任何类型的互动,孩子似乎意识到你的存在，但没有进行互动,孩子不与你进行任何类型的互动(如完全不理睬你，一般说来其行动就好像没有意识到你的存在)
67,行为表现,人际关系,对测试者声音作不适当的反应,在非结构化游戏阶段结尾时实施此项目．当孩子不看着你也不全神贯注于任何活动时，  喊他的名字，让他回到座位上．注意孩子对你声音是如何反应的．,无,,是,孩子对你的声音能作出恰当的反应，以语言或非语言的方式(如眨眼，转过头来说“好的”，返回座位等等)表明他听见了你的声音,孩子对你的声音作出不一致的反应,孩子对你的声音作出不适当的反应，没有以任何语言的或非语言的方式表明他已经听见你的声音
68,功能发展,手眼协调,堆放8块积木,把积木放在孩子面前的桌子上，向他示范如何把积木一块压一块地堆起来．然后把积木重新放回到桌子上，接下来向孩子说明去照样做，并鼓励他堆起尽可能多的积木，允许孩子试堆三次，其中一次至少要堆起8块积木．,12块小积木，放在一个盒子里,,是,孩子在任何一次试堆中至少能堆起8块积木,孩子至少能成功地堆起3块积木：或者他堆起3块以上的积木，但积木倒塌了,孩子不能或者也不试着去堆至少3块积木
69,功能发展,手眼协调,把积木放入盒子中,把一只小盒子放在桌子上积木块的旁边，向孩子说明把积木放到盒子中去．如果孩子难于理解此项任务，可以用2块积木做示范。然后再次向他说明把积木放回盒子中．,同49A,,是,孩子至少能把其中一块积木放入盒中,孩子未能设法把积木放入盒中(例如协调很差),孩子不试图完成这项任务
70,功能发展,口语认知,数出2到7块积木,把两块积木放在孩子面前的桌子上，向他说明数的时候要指着每一块积木(用“手指头数这些积木”或“指着积木数”)．如果孩子能数出两块，然后再加5块放在孩子面前，重复同样实施．注意孩子是否一块块地数积木。,同49A，但只使用颜色相同的积木,,是,在两次试数中，孩子均能正确地数出积木数,孩子仅能正确地数2块积木，或未能设法数对(例如不止一次指着同—个积木或跳过去一块积木等),孩子不能或者也不试着去数
71,功能发展,认知表现,接受性地辨认2到6块积木,至少把8块积木放在孩子面前．要他给你两块积木。把这两块放回到桌上．然后要孩子递给你6块积木．,同49C,,是,孩子能正确地递给你两块及6块积木,孩子能正确地递给你两块积木或者递给你6块积木,孩子不能正确地递给你两块或6块积木：或者他也不试着去这样做
72,功能发展,认知表现,执行两步指令“把一块积木放进杯子，再把杯子放在地板上．”,把一些积木放在桌子上，边上再放一只杯子．引起孩子的注意，然后对他说：“把一块积木放进杯子，再把杯子放在地板上．”经过相当时间之后，如果孩子仍难于理解，则重复一遍指令．可是一旦孩子已开始去做，就不要进一步给他任何口语或非口语的提示．,杯子一只，积木一块,,是,孩子能正确执行这两个指令,孩子没能成功地执行这两个指令(例如仅把积木放进杯子里；或者先把杯子放到地板上，然后再放积木块；或在杯子里放进不止一块积木块),孩子不能或者也不试着去执行任一指令
73,功能发展,口语认知,唱数1到1 0,让孩子大声数．如果孩子似乎难于理解这项任务，就帮助他，说“1，下一个是几?”,无,,是,孩子能正确地从1数到1 0,孩子能正确地至少数到3,孩子不能正确地至少数到3，或也不试着去数
74,功能发展,口语认知,表达性辨认数1—1 0,随意选择一张数卡．拿起卡片靠近孩子，问他“这是几?”在相当一段时间之后，如果孩子没有问答，你来辨认第一个数字．然后对剩余的卡片重复同样实施步骤．,10张卡片上面写有1—10的10个数字,,是,孩子能正确辨认所有1 0个数字,孩子能正确辨认至少一个数字或者他把所有1 0张卡片(的数字)都说成同一个数字（如把卡片上的数都说成是“5”),孩子不能正确辨认任何一个数字：或者他也不试着去这样做
75,功能发展,口语认知,心算加法和减法题,引起孩子注意．把下面的3道题读给他听，每次一道题．在每读一道题时，要允许有足够的时间供孩子去解题和回答．这些题可以读一遍以上．a、假如你有一只球，我再给你两只球，你一共有几只球?(3只)b、假如你有两个硬币，我再给你4个硬币，你一共有多少硬币?(6个)c、假如你有5个娃娃，送掉两个，你还剩几个?(3个),无,,是,孩子能正确地答出至少两道题,孩子能正确地答出其中一道题,孩子不能正确地算出任何一道题：或者也不试着去做
76,功能发展,口语认知,心算出加法和减法题,此项实施步骤同5 3 A．读出如下问题：a、小刚有5只球，送掉2只，他还剩下几只?(3只)b、佳佳有2个硬币，他妈妈又给他4个硬币，他一共有多少?(6个)c、南南有3个娃娃，她爸爸又给了她1个，她一共有多少个?(4个),,,是,孩子能正确地答出至少两道题,孩子能正确地答出其中一道题,孩子不能正确地算出任何一道题；或者他也不试着去做
77,行为表现,游戏及对物的兴趣,对绳子作出不适当反应,先把绳子放在孩子面前的桌子上。然后你开始从盒子里慢慢拿出珠子，放到你的衣兜里。这时，你要注意观察孩子如何对绳子作出反应。,一盒大珠子，一条末端打了结的粗线绳,,是,孩子能对绳子作出适当反应(如：问绳子是干什么用的，拿起绳子好象预备穿珠子等),孩子对绳子毫无兴趣或有点使用不当,孩子对绳子作出不适当反应(如以一种古怪的方式使用绳子：嚼它、用它勒脖子，盯着它看或者反复地玩弄绳子)
78,功能发展,精细动作,穿珠子,把两颗珠子放在孩子面前的桌子上。向他说明去穿珠子．在相当一段时间之后，如果孩子对理解或完成这一项目仍有困难，就示范给他看．然后再次向他说明把珠子穿起来．,同54A,,是,孩子没有太大的困难就能穿上至少一颗珠子,孩子至少穿上了一颗珠子，但有相当大的困难；或者他虽然未能设法穿上一颗，不过他似乎知道必要的动作,孩子未能设法穿上珠子，且似乎也不知道必要的动作，或者他也不试着去这样做
79,功能发展,粗大动作,象钟摆一样摆动穿在绳上的两颗珠子,把两颗珠子穿孔绳子上．站起来并向孩子说明和你一样站起来。然后举起绳子示范如何象钟摆那样往复摆动珠子。把绳子递给孩子，向他说明也这样做。,同54A,,是,孩子能象钟摆一样往复捏动珠子,孩子未能设法往复推动珠子(例如：上下抖动绳子，或者以短促急拉的动作来晃动),孩子不试图以任何方式来摆动珠子
80,功能发展,精细动作,两手并用,在孩子穿珠子、剪纸、或上颜色的过程中：或在正常情况下需用两只手来完成的任何其他项任务的过程中，观察孩子。注意孩子是否能同时协调—致地使用两只于(如用一只手拿绳子，另一只手拿珠子：或者一只于上颜色，而用另外一只手拿纸等)．,无,,是,孩子能一贯地很协调地同时使用两只手,孩子不能一贯协调地使用两只手(如知道必要的动作．但有时弄混淆了：协调不好等),孩子不能或者也不试着去协调地使用两只手
81,功能发展,粗大动作,把物品从一只手转移到另一只手,在拼图或穿珠子等项目的过程中观察孩子．注意孩子是否能自由地把物品从一只手转到另—只手上。,无,,是,孩子能毫无困难地把物品从一只手随心所欲地转移到另一只手上,孩子不能一贯地把物品从一只手转移到另一只手工．并且这样做时往往有相当大的困难,孩子不能或者也不试着之把物品从一只手转移到另一只手上
82,功能发展,精细动作,用(大姆指及食指)握成钳形来夹取一块糖果,把一块糖果放在你的手掌里，稍稍握紧紧这只手，把糖果给孩子，注意他是如何拿起起糖果的。,一块糖果,,是,孩子能仅用大姆指和食指(象精巧的刨子似的)准确地夹取糖果,孩子能拿到糖果，但用了大姆指和两个或两个以上的手指(象较差的刨子)来得到它,孩子不能或者也不试着用姆指和食指去夹取，也不会用姆指和几个手指去抓取糖果(如用手掌去得到它)
83,功能发展,知觉(视觉),找到藏在杯子下的糖果,在桌子上把3只杯子摆成一排，并引起孩子的注意．把一块糖果放在中间杯子下，缓慢地把中间的杯子与你右手的杯子变换位置，向孩子说明去找到糖果．如果孩子难于理解或完成这项任务，则把右手的杯子拿起来给他看糖果．然后把糖果放在中间的杯子下面，重复同样实施．把糖果藏在你左手的杯子下，然后缓慢地与中间的杯子交换位置，向孩子说明去找到糖果．把糖果藏在右手杯子下，然后与左手杯子交换位置，向孩子说明去找到糖果．,3只杯子和一些糖果,,是,在3次试验中，孩子至少能找到糖果两次,孩子在3次试验中有一次找到了糖果,孩子不能或不试图在任何一次试验中去找到糖果
84,功能发展,认知表现,用手势表达5种物品的用途,随意选出一张卡片给孩子看，向他说明要用手势去表达如何使用它(“做给我看，你用它做什么”)。如果孩子似乎难于理解这一任务，拿第一张卡片示范给他看．对其他几张卡片以相同的步骤重复实施。,5张功能卡片，分别带有下列图画：哨子、球、鼓、钥匙和锯,,是,孩子能用手势表达出所有5种物品的用途,孩子至少能用手势表达一种物品的用途；或者他能描述至少一种物品的功能，但没有用手势,孩子不能或也不试着用手势去表达任何一种物品的用途；或者他也不去描述它
85,功能发展,知觉(听觉),听见并寻找手摇铃声音的方位,当孩子从事另一项活动时，藏起手摇铃．然后用力摇动，并注意孩子的反应．,一个手摇铃,,是,孩子能明显地对声音作出反应，并正确辨认声音的方向。这种反应可以是语言的(如问这是什么声音)或非语言的(如眨眼，改变面部表情，吃一惊等，井把头转向声音的方向),孩子有听到声音的某种表示，但不能辨认声音方向或辨认声音方向不正确,孩子绝对没有语言或非语言的表示，说明他听到了声音
85,行为表现,感觉,听见并寻找手摇铃声音的方位,当孩子从事另一项活动时，藏起手摇铃．然后用力摇动，并注意孩子的反应．,一个手摇铃,,是,孩子能对声音作出适当反应(见上面),孩子在相当长时间迟疑之后能作出反应或显示出轻度的不适当的情感反应,孩子对声音作出不适当的反应．他的反应也许是过分的情感反应(如极度害怕，或长时间尖叫)，过度敏感(如捂上耳朵)，或很不敏感(如无任何反应)
86,功能发展,认知表现,依据颜色或形状把1 2张卡片分类成组,把1 2张卡片随意堆放在孩子面前的桌子上．向他说明去把它们分成组(“把同样的指给我看”，“把它们匹配起来”或“把它们分成组”)。一段时间之后，如果孩子仍难于理解或完成这一项目，就拿一组做示范(如三角形或绿色的)．然后再次向他说明去把这些卡片归类．必要时你可以进一步示范把所有卡片归类(如把卡片按颜色或形状分类)。然后把卡片混在一起，随意放在桌了上，并再次要孩子试着去完成这项任务．,分类卡片I，共l2张，由4种形状(菱形、圆形、正方形和三角形)及3种颜色(绿、红、紫色)组成．,,是,孩子不需要充分示范就能把所有卡片分成组(颜色或形状),孩子能完全或部分地把卡片至少分成一个组(如所有绿色的或者两个三角形)；或者需要充分示范才试图去做或完成该项任务,孩子甚至在充分示范之后仍不能部分地将任何卡片分类；或者也不试着这样做
87,功能发展,认知表现,预想常规的做法,在测试过程中，每当一项任务完成时，就把该项所用过的器材归入塑料筐中。鼓励孩子来帮助这样做。观察孩子是否能理解这一常规，不经提示是否也能这样做。,盛测试器材用的塑料筐,,是,孩子能迅速建立起惯常做法的概念，仅需稍加提示就知道下一步该做什么,要到测试快结束时才能理解，或需要较多的提示,没有下一步该做什么的概念，或对常规的做法完全不理解
88,功能发展,知觉(视觉),对图册显示兴趣,把语言读本放在孩子面前的桌子上。一段时间之后，如果他还没有去打开，就鼓励他去打开(如问他是否会看书或者问他是否知道这是什么书等)．注意孩子是如何察看这本书的。,语言读本,,是,孩子能察看图册并显示出对图片的某种兴趣(例如：打开书，一页一页翻过去，并肯定在注视图片),孩子能察看书本，但对图片并没有表现出明显的兴趣(例如打开书，稍微浏览一下，并不肯定在注视图片，一次翻过去4页等),孩子甚至经反复鼓励也不去打开书本
89,功能发展,认知表现,接受性地辨认语言读本中的图片,把语言读本放在孩子面前，图片要对着他．翻到第一页，并引起他的注意．然后问他“哪个是杯子?”，“杯子在哪?”等，要他去触摸或者指认给你看“杯子”．如此逐页重复同样实施．用来问孩子的词语表见“D：语言读本及指导语”的最后一页．此页可以用于记录各种实际的反应，这些反应将可用于促进语言训练计划的编制．记下答对的数目。如果孩子连续说错了5个，就停下来．,同62A,,是,孩子至少能正确辨认其中1 4幅图片,孩子至少能正确辨认其中一幅图片,孩子不能正确地辨认任何一张图片，或者也不试着这样做
90,功能发展,模仿(口语),口头模仿“M-M”、“BA--BA”“PA--TA”及“LA—LA”,引起孩子注意，向他说明去重复你所说的内容(“仔细听”或“照我说的去说”)。然后说“Mmm”，并向他说明去复述。对ba-ba，pa-pa，la-la这些声音依照同样的步骤实施．如果孩子好象有困难，可以增加一个练习项目(如da-da)。,无,,是,孩子至少能正确模仿三种声音,孩子至少能正确模仿一种声音：或者他设法去模仿，但未能发出准确的声音(如言语障碍，或者不成熟的构音等),孩子不能或者也不试着去模仿任何一种声音
91,功能发展,模仿(口语),模仿单词“向上”、“做饭”、“宝宝”,引起孩子注意，拢后照6 3项那杆实施．要孩子去说“向上”，“做饭”、“宝宝”这些单词。,无,,是,孩子至少能正确复述其中两个单词,孩子能正确复述一个中词；或者某个单词的一部分(如说“向上”，或者说了“宝”表示“宝宝”),孩子连某个单词的一部分也不能复述或者他也不试着去这样做
92,功能发展,口语认知,模仿短语“宝宝往上看”，“我要纸”及“他不哭”,引起孩子的注意，如6 3项一样实施。要孩子复述这些短语：“宝宝往上看”，“我要纸”及“他不哭”。词语应当以每秒两个字的速率说出。,无,,是,孩子能正确地复述至少两个短语,孩子能正确地复述至少一个短语或者只重复其中一个短语中的两个词(如“宝宝看”，“要纸”及“他哭”等),孩子连任何一个短语中的两个词也不能复述：或者他也不试着这样做
93,功能发展,口语认知,模仿简单句：“宝宝敲打一只红色的球．”“我看见一架飞机在高空中飞．”“康康买了一只娃娃和一辆车．”,引起孩子注意，如6 3项同样实施．要孩子复述下列句子：“宝宝敲打一只红色的球．”“我看见一架飞机在高空中飞．”’康康买了一只娃娃和一辆车”．词语应当以每秒两个字的速率说出．,无,,是,孩子能正确复述出3句中的两句话．如果他说错了某一个词，而这个词的发音与你实际说的非常相似，也可按通过评分,孩子至少能复述出其中一句话：或者不管顺序是否正确，他能复述其中一句话中的四个词(如“看见飞机高空飞”，“康康和一辆车”等),孩子连任何一句话中的4个词也不能复述或者他也不试着这样做
94,功能发展,口语认知,模仿复合句,引起孩子注意，如6 3项同样实施．要孩子复述下列句子：1)虽然我的狗汪汪叫，但猫却没有跑．2)在吃饭之前，我总是先洗手．3)要是你坐好了，就给你一本书．,无,,是,孩子能正确复述3句话中的两句,孩子至少能正确复述其中一句：或者他至少能复述三个句子中的两个分句(如“要是你坐好了”和“但猫却没有跑”等),孩子不能正确复述三个句子中的至少两个分句：或者他也不试着这样做
95,功能发展,认知表现,对口头指令做出反应,把这些物品放在孩子面前的桌子上，并引起孩子的注意．然后说出下列指令，并向他说明去做你让他做的事(“照我说的去做”)．1)敲打盒子．2)拍拍小狗．3)站起来跳下。4)把杯子放到盒子里，然后坐下．  5)敲敲门，再摸摸墙．,一只小球，一只杯子，一只玩偶狗，一个装得下一只杯子的盒子,,是,孩子至少能执行4个指令,孩子至少能执行一个指令：或者仅仅部分地执行一个指令(如把杯子放进盒子，摸一下墙等),孩子不能至少部分地执行任何一个指令，或者也不试着去做
96,功能发展,口语认知,读出简短的词；球、狗、猫及房子,打开语言读本，翻到故事这一页，要孩子去朗读．孩子应当朗读整个故事．注意孩子怎样朗读，以及他出了哪些差错．这是语言读本中的一个小故事：球，狗、猫、房子小明有一只狗和一只猫．他还有一只大球．狗、猫和小叫住在一所房子里．小明喜欢同他的狗和猫一起玩．狗朝小明的球猛扑过去，一直跑到了大街上．小明抓住了狗，他们回家了．小明拿起球，把它放进盒子里．,语言读本,,是,孩子能正确读出第一行四个单词中的三个(球、狗，猫、房子),孩子至少能正确读出第一行四个单词中的一个单词，或者他至少能读出故事中的一个词,孩子不能或者也不试着去读任何一个词
97,功能发展,口语认知,读出故事中的一个短句,在实施6 9 A项时注意孩子是否能读出一个完整的句子。,同69A,,是,孩子至少能正确读出一个短句子,孩子至少能读出一个短句；或者他能读出两个连贯的词(如；“小明拿起球”； “小明有”；“一所房子”等),孩子不能读出两个连贯的词，或者他也不试着这样做
98,功能发展,口语认知,不出多处错误地阅读故事,在实施6 9 A项时，注意孩子是否有许多错误。,同69A,,是,孩子在读故事时，没有出现很多错误．也就是说，他基本上读得很顺利，仅在比较难的词上有一些犹豫；或仅跳过一个或两个词,孩子几乎能读出整篇故事，但有许多错误，漏读或错读了较长的句子的一部分．他读得不流利，还常常在一些比较简单的词上出现犹豫,孩子能去读故事，但几乎每个词都需要提示：或者他不能读，或者也不试着去这样做
99,功能发展,口语认知,带理解的阅读,在孩子朗读完故事后，要他再默读一遍．待他读完后，问他下列问题：1)小明有什么动物?(一只狗和一只雅)；2)小明玩什么?(球、猫、狗)；3)谁朝小明的球猛扑过去?(狗)．,同69A,,是,孩子能正确回答出其中两个问题,孩子能正确回答出一个问题,孩子不能正确问答任何问题，或者他也不试着这样做
100,功能发展,认知表现,读书面指令并照着做,把语言读本翻到故事这一页。要确保孩子能看到球和盒子，并能够得到。要他再次读最后一句，向他说明按他读到的话去做(“照小明那样去做”或“你也这样做”)．,语言读本，一只球和一个盒子,,是,孩子能把球放到盒子里,孩子拿起球，但并不放到盒子里,孩子不明白，或者也不试着按指令去做
101,行为表现,感觉,对被掐作出的反应,对孩子说：“我要轻轻掐你一下”。然后掐他一下，轻重足以让他感到有点疼。问他“疼吗?”当孩子感到困惑时，很快安慰他，并允许他反过来掐你．,无,,是,孩子能对被掐作出适当反应(如发出抱怨声，哭一小会儿，说“别掐”，或设法反过来掐你),孩子显得比预想的要敏感得多，或者似乎反常仅有一点点反应,对疼痛反应不适当(例如：过分地哭喊或尖叫，或什么反应都没行。)[注)余下项目均依据整个测试期间对孩子行为(包括他在非结构化游戏时的行为)的观察．对于有年龄规定的项目，孩子年龄低于规定时，记为NA，即“不适用”
102,行为表现,游戏及对物的兴趣,不适当地考察环境,注意孩子如何考察测试主忙环境。即他是否绕着房间走动；向窗外看：往黑板上画画；玩弄灯的开关；转动门的把手等。,,,是,孩子能适当地考察环境,孩子对测试房间显示出长时间的、以及异常的焦烘不安或几乎没有什么兴趣,孩子的考察过分重复、强烈。病理学行为也许包括绕着房间爬行．或者反复绕着房间走，触摸每一面墙，长时旧地或过分地摸墙或地板等
103,行为表现,游戏及对物的兴趣,不适当地察看测试材料,注意孩子如何对测试材料作出反应，也就是说他是否对测试村料显示出—种自发的兴趣并适当地摆弄这些材料。,,,是,孩子能适当地摆弄测试利科，并且饶有兴趣地通过视觉和触觉来察看测试材料,孩子摆弄器材所用的时间异常长，且只使用某一种感觉方式：或难于制止他的摆弄：或者他对任何测试材料都几乎没有兴趣,不适当地察看测试材料。病理学行为可能包括：或者对这些材料极度漠不关心；或者用古怪方式审视或摆弄。例如孩子可能把材料扔掉、转动、舔食，嗅闻或用以磨拣注意力仅集中在某些部份上；拿起物品凑近灯光来看：不盯着拼图板正面，而去盯着看各部分的边缘等
104,行为表现,人际关系,不正常的视线接触,注意孩子是否与测试看保持视线接触。,,,是,孩子能与测试者保持足够程度的视线接触,即使存在互动方面的兴趣，(孩子的)视线接触也转瞬即逝,孩子显示出长时间的、或过度避免与测试者视线接触
105,行为表现,感觉,不正常的视觉敏感性,注意孩子对视觉刺激的兴趣和反应，是异常感兴趣还是回避?,,,是,孩子的视觉兴趣及敏感性在正常范围内,对视觉刺激的注意存在某种过分的选择性：或在这种形式的考察中有某种不正常的回避现象,孩子对某些测试材料、物品、颜色、房间内的一些区域等方面，有异常的及长时间的视觉上的兴趣：或者极度避开某些视觉刺激。病理学行为可能包括：以下变的模式把物品排成一行：被映象弄得过分兴奋；反复把某种物体对着灯光：旋转碟子等物体；盯着某种颜色等等：或当要求他注视测试材科或测试者时，却避免这样做
