"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分说明_1_达标","评分说明_0.5_部分达标","评分说明_0_未达标"
"41","Level 3 (30-48月)","Listener(听者反应)","Listener 11","能够从一组 6 个相似的刺激物中根据颜色和形状来选择 4 种颜色和 4 种形状（如：找一找红色的车、找一找房的饼干）","","30-48月","是","能够从一组 6 个相似的刺激物中根据颜色和形状来选择 4 种颜色和 4 种形状（如：找一找红色的车、找一找房的饼干）","(11-a) 将 5 个具体的物品放在属于他们的地方（如：把头发刷子放好）; (11-b) 在 4 种不同颜色物品的组合中辨别 4 种颜色; (11-c) 在 4 种不同形状物品的组合中辨别 4 种形状; (11-d) 在 2 个不同的介词间进行辨别（如：在……中、在……上、在……下）; (11-e) 在得到一个代词后，能够辨别自己和他人（如：你的、我的）; (11-f) 在 8 个一组的组合中选择两种不同的颜色或形状，共 10 对（如：给我红色和蓝色）","以上行为均未观察到"
"42","Level 3 (30-48月)","Listener(听者反应)","Listener 12","能够听从包括 6 个不同介词的两个指令（如：站在椅子的后面）和 4 个不同的代词（如：摸摸我的耳朵）","","30-48月","是","能够听从包括 6 个不同介词的两个指令（如：站在椅子的后面）和 4 个不同的代词（如：摸摸我的耳朵）","(12-a) 遵循指令将物品拿到 5 个不同的地方（如：把托盘拿到水槽里）; (12-b) 到 5 个不同的地方并取回具体的物品（如：去厨房拿杯子）; (12-c) 根据一个形容词从相似刺激物的组合中选择物品（如：摸一摸小的鸟）; (12-d) 在男孩和女孩以及男人和女人之间进行性别的辨别（如：女孩在哪？）; (12-e) 给予一个代词在男性和女性之间进行辨别（如：他和她）; (12-f) 通过 2 个不同的副词表现出对动作的修饰（如：慢慢的走，快快的走）","以上行为均未观察到"
"43","Level 3 (30-48月)","Listener(听者反应)","Listener 13","能够在一组相似刺激物中根据 4 对相对性形容词（如：大的和小的，长的和短的）而选择物品，并且能够根据 4 对相对副词（如：安静的和大声的，很快的很慢的）而做出动作","","30-48月","是","能够在一组相似刺激物中根据 4 对相对性形容词（如：大的和小的，长的和短的）而选择物品，并且能够根据 4 对相对副词（如：安静的和大声的，很快的很慢的）而做出动作","(13-a) 根据要求表演 3 种假装的情绪（如：做伤心的脸给我看，做个开心的脸）; (13-b) 根据 1 个主语、形容词和名词识别（LDs）10 件物品（如：给我看女孩的红头发）; (13-c) 根据 1 个主语、介词和名词表演 10 个动作（如：把马放到畜棚里）; (13-d) 根据 1 个动词、代词和名词识别 10 件物品（如：梳她的头发）; (13-e) 将一个代词和一个介词泛化到新的环境中（如：对新朋友正确的使用他的）","以上行为均未观察到"
"44","Level 3 (30-48月)","Listener(听者反应)","Listener 14","能够执行 10 个不同的包含三个步骤的指令）（如：拿你的外套，把它挂好，然后坐下）","","30-48月","是","能够执行 10 个不同的包含三个步骤的指令）（如：拿你的外套，把它挂好，然后坐下）","(14-a) 根据一个主语、动词和副词表演 10 个动作（如：高高的青蛙跳给我看）; (14-b) 根据一个主语、动词和动词表演 10 个动作（如：给我表演大熊跳舞）; (14-c) 根据分类在 6 个社区服务人员之间进行辨别（如：护士，医生，邮寄员，公车司机）; (14-d) 对某些含有“一”对“二”对“所有”的 10 个任务作出正确的反应","以上行为均未观察到"
"45","Level 3 (30-48月)","Listener(听者反应)","Listener 15","通过测试或者从积累起来的已知词汇量表明，孩子能够理解 1200 个词汇（名词，动词和形容词）","","30-48月","是","通过测试或者从积累起来的已知词汇量表明，孩子能够理解 1200 个词汇（名词，动词和形容词）","(15-a) 根据给予的否定词在物品中进行辨别，共 10 个任务（如：哪个不是食物？）; (15-b) 在小组中辨别同伴的五个特性（如：谁穿了蓝色的袜子？谁有红色的头发？谁戴了眼镜？）; (15-c) 对 10 个含有单数和对复数的任务作出正确的反应（如：摸摸小狗，摸摸小狗们）; (15-d) 将 5 个形容词泛化到新名词（如：当第一次遇到一个粘蝇器时说，粘苍蝇的东西）; (15-e) 加 5 个副词泛化到新的动词去（如：当第一次遇到火山岩时，说“火山岩慢慢移动”）","以上行为均未观察到"
"46","Level 1 (0-18月)","VP/MTS(视觉配对)","VP-MTS 1","视觉上能 5 次追踪移动的刺激物达 2 秒（TO：30 分钟）","","0-18月","是","视觉上能 5 次追踪移动的刺激物达 2 秒（TO：30 分钟）","(1-a) 用视觉注意人和人脸 5 次; (1-b) 用视觉注意强化物 5 次","以上行为均未观察到"
"47","Level 1 (0-18月)","VP/MTS(视觉配对)","VP-MTS 2","用拇指，食指和中指抓起小物件（钳形抓握）","","0-18月","是","用拇指，食指和中指抓起小物件（钳形抓握）","(2-a) 伸手并成功抓取物品 5 次; (2-b) 用食指戳东西或用于其他的用途达到 5 次; (2-c) 用多种方式操作玩具或物品达 10 秒，5 次","以上行为均未观察到"
"48","Level 1 (0-18月)","VP/MTS(视觉配对)","VP-MTS 3","视觉上注意一个玩具或书本达 30 秒（不是一种自我刺激）","","0-18月","是","视觉上注意一个玩具或书本达 30 秒（不是一种自我刺激）","(3-a) 将物品从一只手转到另一只手达 5 次; (3-b) 寻找掉落已经看不见的物品达 5 次","以上行为均未观察到"
"49","Level 1 (0-18月)","VP/MTS(视觉配对)","VP-MTS 4","完成以下 2 项或其他类似活动，放置 3 个物品在容器中，堆叠 3 块积木或将 3 个环圈挂在桩子上","","0-18月","是","完成以下 2 项或其他类似活动，放置 3 个物品在容器中，堆叠 3 块积木或将 3 个环圈挂在桩子上","(4-a) 将物品从容器中倒出，或将物品从橱柜内拿出达 5 次; (4-b) 推和/或拉物品达 5 次","以上行为均未观察到"
"50","Level 1 (0-18月)","VP/MTS(视觉配对)","VP-MTS 5","配对任何 10 个相同的物品（如：嵌入式拼图、玩具、物件或图片）","","0-18月","是","配对任何 10 个相同的物品（如：嵌入式拼图、玩具、物件或图片）","(5-a) 视觉上注意玩具和书籍达 1 分钟，2 次; (5-b) 在一餐中成功使用勺子 5 次; (5-c) 没有形体辅助完成 3 件一组的拼图; (5-d) 试图使用任何一种书写工具涂写; (5-e) 将 2 个相似的物品放在一起 2 次（如：拿起一个相匹配的玩具）","以上行为均未观察到"
"51","Level 2 (18-30月)","VP/MTS(视觉配对)","VP-MTS 6","在一个 6 件物品的组合中，能配对完全一样的实物或图片，共达 25 件物品","","18-30月","是","在一个 6 件物品的组合中，能配对完全一样的实物或图片，共达 25 件物品","(6-a) 将 2 个物品或玩具联系在一起（如：乐高积木）; (6-b) 将相同的物品叠在一起达 2 次（如：碗、杯子、盘子）; (6-c) 能将书翻过 2 页; (6-d) 在没有辅助的情况下完成包含有 3~4 件的 3 套不同拼图; (6-e) 能无需帮助而堆叠 4 块积木; (6-f) 在 3 个一组整齐排列的组合中将不同尺寸的相同物品或图片进行配对，共 10 件物品（如：配对帽子）; (6-g) 能在 6 个一组凌乱排列的组合中将不同尺寸的相同物品或图片进行配对，共 10 件物品（如：将大的红色的球和小的红色的球配对）; (6-h) 将 5 件物品放在属于他们或适当的背景中（如：将杯子放在水槽里）","以上行为均未观察到"
"52","Level 2 (18-30月)","VP/MTS(视觉配对)","VP-MTS 7","能按照所给的范例对相同的颜色和形状进行分类，共达 10 种不同的颜色和形状之分类（如：在得到红色、蓝色和绿色的碗以及一堆红色、蓝色和绿色的小珠时，孩子能够按照颜色对物品进行分类）","","18-30月","是","能按照所给的范例对相同的颜色和形状进行分类，共达 10 种不同的颜色和形状之分类（如：在得到红色、蓝色和绿色的碗以及一堆红色、蓝色和绿色的小珠时，孩子能够按照颜色对物品进行分类）","(7-a) 在没有辅助的情况下完成包含 6 片或更多的拼图游戏，共 5 套; (7-b) 在 8 个一组的凌乱组合中配对相同的物品或图片，共 25 件物品; (7-c) 在 8 个一组的凌乱组合中配对有不同背景的相同图片，共 25 件物品; (7-d) 在 8 个一组的凌乱组合中，将相同的图片（2D）和实物（3D）进行配对，反之一样，共 10 对（如：能将托马斯火车的图片与托马斯火车的玩具配对）; (7-e) 在游戏或其他的情景中自发地将 2 件物品配在一起（如：拿起绿巨人的雕像和从雕像桶中选择绿巨人进行配对）; (7-f) 不超过 20 秒完成在 8 个一组的组合中对相同物件的配对，共 10 次配对（流利性）","以上行为均未观察到"
"53","Level 2 (18-30月)","VP/MTS(视觉配对)","VP-MTS 8","在一个数量为 8 的组合中而其中有三样东西相互相似，孩子能够将相同的东西或图片进行配对并且共能进行 25 个这样的配对（如：将一只狗和在同时又包含着猫、猪和小马的组合中的一只狗进行配对）","","18-30月","是","在一个数量为 8 的组合中而其中有三样东西相互相似，孩子能够将相同的东西或图片进行配对并且共能进行 25 个这样的配对（如：将一只狗和在同时又包含着猫、猪和小马的组合中的一只狗进行配对）","(8-a) 没有正式训练就能够泛化 5 个新的相同的配对任务; (8-b) 将相同的物品或图片与书中对应的物品进行配对，共 25 件; (8-c) 将相同的物品或图片与自然环境中对应的物品进行配对，共 25 件; (8-d) 为了 3 个游戏活动，从一个箱子里选择 3 个不同但有联系的物品（如：从一个装有其他玩具的箱子里拿出家畜）; (8-e) 成功地装配连接性玩具的 5 个部分，共 5 种（如：乐高积木、火车、土豆头先生）","以上行为均未观察到"
"54","Level 2 (18-30月)","VP/MTS(视觉配对)","VP-MTS 9","在数量为 10 的组合中对相似同类的实物或相似同类的图片进行配对并且配对总数为 25（如：将一辆福特卡车与一辆丰田卡车进行配对）","","18-30月","是","在数量为 10 的组合中对相似同类的实物或相似同类的图片进行配对并且配对总数为 25（如：将一辆福特卡车与一辆丰田卡车进行配对）","(9-a) 在 8 个一组的凌乱组合中将颜色不同，但其他方面完全相同的物品或图片进行配对，共 25 件物品（如：红色的福特野马和蓝色的福特野马）; (9-b) 在包含 2 个相似刺激的 8 个一组凌乱组合中，将不完全相同的物品或图片进行配对，共 25 件物品; (9-c) 将不完全相同的物品或图片与书中对应的物品配对，共 25 件物品; (9-d) 将不完全相同的物品或图片与自然环境中对应的物品配对，共 25 件物品; (9-e) 在自然环境中表现出自发的根据功能将样本配对，2 次（如：找到匹配的鞋子）","以上行为均未观察到"
"55","Level 2 (18-30月)","VP/MTS(视觉配对)","VP-MTS 10","在数量为 10 而其中又包括 3 个相似刺激的组合中，能够对相似同类的实物（3D）与图片（2D）或其相反的秩序进行配对，并且配对的总数为 25 个","","18-30月","是","在数量为 10 而其中又包括 3 个相似刺激的组合中，能够对相似同类的实物（3D）与图片（2D）或其相反的秩序进行配对，并且配对的总数为 25 个","(10-a) 组装、收集，或分类 5 种不同的但却匹配的玩具，人物，或物品（如：一套茶具）; (10-b) 将身体部位的卡片与他自己的身体部位进行配对，共 5 个身体部位; (10-c) 将一张活动的图片与一张同样活动但不完全相同的图片进行配对，共 10 个活动（如：将小女孩在游泳的图片与小男孩在不同游泳池游泳的图片进行配对）; (10-d) 在一本彩色画图本里为一张图片涂色，尽管不是始终在线内; (10-e) 将相互有关联的 10 个不同的物品进行配对（如：鞋子和袜子）","以上行为均未观察到"
"56","Level 3 (30-48月)","VP/MTS(视觉配对)","VP-MTS 11","能够自发地参照他人的美工活动而完成自己美工活动的任何部分达 2 次（如：一个同伴将气球涂成红颜色，孩子能够模仿同伴而将自己的气球也涂成红色）","","30-48月","是","能够自发地参照他人的美工活动而完成自己美工活动的任何部分达 2 次（如：一个同伴将气球涂成红颜色，孩子能够模仿同伴而将自己的气球也涂成红色）","(11-a) 用 10 个拼片完成 5 种不同的咬合性拼图; (11-b) 根据 2D 样本和 3D 积木完成 4 组件的积木造型，共 4 种造型; (11-c) 没有形体辅助就能使用胶水将物品粘在一起，共 2 次; (11-d) 将一个场所的图片与一个同样场所但有所不同的图片进行配对，共 10 个场所（如：将一张游乐场的图片与另一个该游乐场的不同图片进行配对）","以上行为均未观察到"
"57","Level 3 (30-48月)","VP/MTS(视觉配对)","VP-MTS 12","能在包含 3 个相同刺激物的 10 件物品之随意组合中，泛化对不完全相同物品的配对达 25 次（即在第一个回合中就能配对新的目标）","","30-48月","是","能在包含 3 个相同刺激物的 10 件物品之随意组合中，泛化对不完全相同物品的配对达 25 次（即在第一个回合中就能配对新的目标）","(12-a) 根据一个样本而从 3 个不同的类别中将 5 个相关联的物品加以归类（如：将所有的车辆从玩具罐中拿出来）; (12-b) 延迟 5 秒后，能够将不完全相同的物品与在 6 个一组的随意组合中的比较物品进行配对（如：给孩子看一只老虎，然后拿走老虎，等待 5 秒后，再展现一个组合）; (12-c) 根据 2D 样本和 3D 积木完成 6 组件的积木造型，共 8 种造型; (12-d) 用一个 3D 积木造型与 4 块积木进行配对（如：一个房子、塔）","以上行为均未观察到"
"58","Level 3 (30-48月)","VP/MTS(视觉配对)","VP-MTS 13","能用至少 8 个不同的部件，完成 20 个不同的积木造型，木质嵌塞，形状拼图或类似的任务","","30-48月","是","能用至少 8 个不同的部件，完成 20 个不同的积木造型，木质嵌塞，形状拼图或类似的任务","(13-a) 没有形体辅助就能用剪刀剪 5 种不同的花样或物品; (13-b) 用 6 个盘子和餐具为 2 个人摆餐桌; (13-c) 按从小到大整齐地摆放 3 组物品（顺序排列）; (13-d) 用至少 6 个部件模仿一个积木的模型结构或相似的物品组装","以上行为均未观察到"
"59","Level 3 (30-48月)","VP/MTS(视觉配对)","VP-MTS 14","能够在没有示范的情况下对 5 个不同类别中的 5 件物品进行归类（如：动物、衣服、家具）","","30-48月","是","能够在没有示范的情况下对 5 个不同类别中的 5 件物品进行归类（如：动物、衣服、家具）","(14-a) 用至少 6 个部分成功地完成一个人形拼图; (14-b) 在包含有 3 个相似刺激物的 6 个一组的组合中将 25 个相互有关联的物品配对; (14-c) 完成 10 个不同的顺序排列任务（如：从局部到整体、从小到大等）; (14-d) 用相同的图片玩短暂的“集中注意力”或记忆游戏","以上行为均未观察到"
"60","Level 3 (30-48月)","VP/MTS(视觉配对)","VP-MTS 15","能够完成 20 个包含有 3 个步骤的形状、顺序、或顺序排列的任务（例如五角星、三角形、心形、五角星，三角形……）","","30-48月","是","能够完成 20 个包含有 3 个步骤的形状、顺序、或顺序排列的任务（例如五角星、三角形、心形、五角星，三角形……）","(15-a) 用 5 种不同颜色或形状特征完成一个 A-B 模式; (15-b) 用 5 种不同的图片模型完成一个 A-B 模式; (15-c) 按正确顺序排列 3 张图片，共 5 套; (15-d) 用 5 个组件构建 5 个毡毛（或相似材料）情景（如：农场、聚会）","以上行为均未观察到"
"61","Level 1 (0-18月)","Play(游戏)","Play 1","触摸和探究物体达 1 分钟（如：看着一个玩具，将其翻转、按下按钮）（TO：30 分钟）","","0-18月","是","触摸和探究物体达 1 分钟（如：看着一个玩具，将其翻转、按下按钮）（TO：30 分钟）","(1-a) 有一个最喜爱的安慰物品，他可能与它一起睡觉或常拿着（如：一条毛毯、填充动物）; (1-b) 伸手向感兴趣的物品（如：钥匙、杯子、球）; (1-c) 能将物品从一只手转到另一只手; (1-d) 当大人拿起玩具时能看着玩具","以上行为均未观察到"
"62","Level 1 (0-18月)","Play(游戏)","Play 2","能独立地与 5 个不同的物件互动从而显示游戏中的变化（如：玩环圈、然后玩球、再玩积木）（TO：30 分钟）","","0-18月","是","能独立地与 5 个不同的物件互动从而显示游戏中的变化（如：玩环圈、然后玩球、再玩积木）（TO：30 分钟）","(2-a) 指向感兴趣的物品或玩具; (2-b) 扔下物品看着它们掉落或表现出对其他因果关系的兴趣; (2-c) 打开橱柜门，玩具盒，或将手伸进玩具箱; (2-d) 重复一个发出声音的游戏行为","以上行为均未观察到"
"63","Level 1 (0-18月)","Play(游戏)","Play 3","能在一个新环境中进行探索活动和操作玩具达 2 分钟（如：在一个新的游戏室）从而表现出泛化（TO：30 分钟）","","0-18月","是","能在一个新环境中进行探索活动和操作玩具达 2 分钟（如：在一个新的游戏室）从而表现出泛化（TO：30 分钟）","(3-a) 将一个感兴趣的玩具或物品给大人; (3-b) 把容器里的物品倒在地板上; (3-c) 将物品拿出或放进容器内; (3-d) 在一个新环境里泛化已知的游戏行为; (3-e) 将玩具或物品从一个地方搬到了另一个地方","以上行为均未观察到"
"64","Level 1 (0-18月)","Play(游戏)","Play 4","独立进行运动性游戏 2 分钟（如：荡秋千、跳舞、摇晃、跳、攀爬）（TO：30 分钟）","","0-18月","是","独立进行运动性游戏 2 分钟（如：荡秋千、跳舞、摇晃、跳、攀爬）（TO：30 分钟）","(4-a) 没有大人的语言辅助就能进到游戏室或相似的游戏建筑里; (4-b) 在大人示范玩玩具的玩法后学习正确地操作玩具（如：按弹起式玩玩具的按钮）; (4-c) 要求大人就一个物品提供帮助（如：孩子举起他无法打开的某个物品）; (4-d) 当音乐奏响的时候自发地跳舞; (4-e) 喜欢推或拉一辆马车、三轮车或其他的玩具车辆","以上行为均未观察到"
"65","Level 1 (0-18月)","Play(游戏)","Play 5","能独立玩因果关系的游戏达 2 分钟（如：往容器中倒东西、玩弹出玩具，牵拉玩具等）（TO：30 分钟）","","0-18月","是","能独立玩因果关系的游戏达 2 分钟（如：往容器中倒东西、玩弹出玩具，牵拉玩具等）（TO：30 分钟）","(5-a) 能将玩具一件件分开（如：乐高积木，组装积木）; (5-b) 自发地推和拉周围的物品; (5-c) 携带一个大件的游戏物品到一个新的地方（如：一个玩具车库）; (5-d) 发出与玩具有关的声音或词语（如：玩车时说呜呜）; (5-e) 使事件发生联系把他们放在一起（如：一辆汽车放在一个轨道上，乐高玩具）","以上行为均未观察到"
"66","Level 2 (18-30月)","Play(游戏)","Play 6","能寻找 5 个或 5 套玩具中的遗失部分、对应的玩具或一套玩具中的某个成分（如：一块拼图板、一个投掷玩具中的球、一个玩具娃娃的奶瓶）","","18-30月","是","能寻找 5 个或 5 套玩具中的遗失部分、对应的玩具或一套玩具中的某个成分（如：一块拼图板、一个投掷玩具中的球、一个玩具娃娃的奶瓶）","(6-a) 散步时携带 2 个或更多的玩具; (6-b) 独立地玩一套拼图 1 分钟; (6-c) 进行感觉性游戏达 2 分钟（如：从浅盘里舀沙子或米、玩刮胡泡沫）; (6-d) 在一个游泳池或浅水池里溅水或用物品玩水; (6-e) 玩有多个部分的玩具套组 2 分钟（如：家畜、一套球）","以上行为均未观察到"
"67","Level 2 (18-30月)","Play(游戏)","Play 7","能独立地表现出按照其功能而使用 5 件玩具或物品（如：把一辆火车放在轨道上、用手拉小车、将电话放在耳朵旁）","","18-30月","是","能独立地表现出按照其功能而使用 5 件玩具或物品（如：把一辆火车放在轨道上、用手拉小车、将电话放在耳朵旁）","(7-a) 在神奇画板、白板或纸上涂鸦; (7-b) 在活动的准备期间能够等待; (7-c) 没有大人互动独立游戏 2 分钟; (7-d) 在一个箱子里将喜欢玩具物品与其他物品做分类区别（如：拿出托马斯火车）; (7-e) 自发地模仿一个大人对物品的使用（如：梳头发）","以上行为均未观察到"
"68","Level 2 (18-30月)","Play(游戏)","Play 8","能够使用日常物品而进行游戏并创造两种不同的玩法（如：把一个碗当做鼓或把一个盒子当做想象的汽车）","","18-30月","是","能够使用日常物品而进行游戏并创造两种不同的玩法（如：把一个碗当做鼓或把一个盒子当做想象的汽车）","(8-a) 没有大人辅助独立在游乐场玩 2 分钟; (8-b) 在游戏场所观察，然后模仿其他的儿童（如：从滑梯上滑下）; (8-c) 将大的珠子、鞋带穿起，或做相似的精细动作休闲活动达 1 分钟; (8-d) 按设计玩 2 套玩具（如：锤子和工具玩具组、厨房玩具组）","以上行为均未观察到"
"69","Level 2 (18-30月)","Play(游戏)","Play 9","能够使用活动建筑与操场上的游戏设备独立地游戏达 5 分钟（如：滑滑梯、荡秋千）（TO：30 分钟）","","18-30月","是","能够使用活动建筑与操场上的游戏设备独立地游戏达 5 分钟（如：滑滑梯、荡秋千）（TO：30 分钟）","(9-a) 要求去一个游乐场或游戏建筑物，或以其他方式得到他不能独立获得的游戏项目（如：要求被举起到拉架上）; (9-b) 完成 5 套嵌入式拼图，其中每套有 5 件或更多件; (9-c) 用游戏建筑物的特定零件反复玩游戏（如：滑下滑梯数次、在索桥上来回反复走）; (9-d) 自发地将球往前踢","以上行为均未观察到"
"70","Level 2 (18-30月)","Play(游戏)","Play 10","组装 5 种不同的具有多样部件的玩具（如：土豆头先生、小人组合、玩具臭虫、组装玩具）","","18-30月","是","组装 5 种不同的具有多样部件的玩具（如：土豆头先生、小人组合、玩具臭虫、组装玩具）","(10-a) 按玩具设备的设计游戏（如：生日玩具、茶具）; (10-b) 允许其他人在靠得很近的地方游戏; (10-c) 对同伴已完成的项目表现出兴趣（如：沙子城堡、乐高造型）; (10-d) 要求同伴不要破坏他的建筑或玩具装配; (10-e) 当玩具配件遗失时能因陋就简地玩（如：即使汽车少了一个轮子但仍然继续玩）; (10-f) 活动过后在大人辅助下帮忙收拾玩具","以上行为均未观察到"
"71","Level 2 (18-30月)","Play(游戏)","Play 11","能自发地就 5 种情况（如：穿衣打扮、假装与毛绒动物开晚会、假装烹饪等）进行假装的或想象的游戏","","18-30月","是","能自发地就 5 种情况（如：穿衣打扮、假装与毛绒动物开晚会、假装烹饪等）进行假装的或想象的游戏","(11-a) 环绕障碍驾驶一个骑马玩具（如：围绕一根柱子骑三轮车或转滚圈）; (11-b) 在游戏活动中表现出 1 对 1 的一致性（如：将塑料鸡蛋放在鸡蛋包装盒里、将拿着奶瓶的娃娃放在床上）; (11-c) 独立拿取玩具和玩耍 2 分钟; (11-d) 在参与活动的过程中能够根据熟悉的歌曲唱、哼、或背诵几句话","以上行为均未观察到"
"72","Level 2 (18-30月)","Play(游戏)","Play 12","在 2 种活动中，能重复大动作的游戏行为从而获得更好的结果（如：将一个球扔进球篮里、用棒球棍击球、用跺脚来发射玩具火箭、荡秋千）","","18-30月","是","在 2 种活动中，能重复大动作的游戏行为从而获得更好的结果（如：将一个球扔进球篮里、用棒球棍击球、用跺脚来发射玩具火箭、荡秋千）","(12-a) 完成装配的活动（如：能用积木搭建造型、将串珠做成项链并戴上）; (12-b) 在一本彩色画图本上的一个图型上涂色; (12-c) 能独立地坐着看一本书达 5 分钟; (12-d) 在同一个区域游戏时能接受同伴的指导","以上行为均未观察到"
"73","Level 2 (18-30月)","Play(游戏)","Play 13","能独立进行美术活动或手工活动（如：作图、涂色、画画、剪纸、粘贴）达 5 分钟","","18-30月","是","能独立进行美术活动或手工活动（如：作图、涂色、画画、剪纸、粘贴）达 5 分钟","(13-a) 按其功能使用美工材料（如：用剪刀剪纸、使用胶水）; (13-b) 在活动中能等待轮流（如：等待另一个儿童从秋千上下来，或等待活动桌）; (13-c) 能独立画出可辨认的物品; (13-d) 向大人或同伴展示一个完成的作品（如：一件美工作品）; (13-e) 在一本彩色画图本里给物品涂色，大多数都涂在范围之内","以上行为均未观察到"
"74","Level 2 (18-30月)","Play(游戏)","Play 14","能够无需大人帮助或强化而独立进行连续性游戏活动达 10 分钟（如：玩神奇画板、玩穿衣打扮）","","18-30月","是","能够无需大人帮助或强化而独立进行连续性游戏活动达 10 分钟（如：玩神奇画板、玩穿衣打扮）","(14-a) 当一个活动中断或停止时能表现出恰当的行为（如：当大人告诉他停止时，孩子能停止游戏）; (14-b) 遵守安全规则（如：不要把物品投向其他孩子或在游戏架上不能爬得太高）; (14-c) 假装写一个便条; (14-d) 能独立地拿取、组合、完成并（在辅助下）放好游戏活动器具","以上行为均未观察到"
"75","Level 2 (18-30月)","Play(游戏)","Play 15","能够独立地在学前儿童活动书本上画画或写字（如：点连线、配对游戏、迷宫、临摹字母和数字）达 5分钟","","18-30月","是","能够独立地在学前儿童活动书本上画画或写字（如：点连线、配对游戏、迷宫、临摹字母和数字）达 5分钟","(15-a) 表现出乐意尝试更有挑战性的体育活动（如：骑有训练轮的自行车、排队溜冰、用棒击打高尔夫球）; (15-b) 自发地协助日常活动（如：摆餐桌、在花园里种植物、汇总袜子）; (15-c) 参与一个非首选的活动来获得一个喜欢的活动; (15-d) 玩电脑或电视游戏和正确地操作设备; (15-e) 在玩的过程中遇到问题会独立解决（如：拉一个卡住了的玩具）","以上行为均未观察到"
"76","Level 1 (0-18月)","Social(社交)","Social 1","能至少 5 次地视觉追视他人的移动并对此表示兴趣（TO：30 分钟）","","0-18月","是","能至少 5 次地视觉追视他人的移动并对此表示兴趣（TO：30 分钟）","(1-a) 当听到熟悉的声音时微笑 3 次（如：他的妈妈或爸爸的声音）（TO：60 分钟）; (1-b) 看着熟悉的人的脸至少 3 次（TO：60 分钟）; (1-c) 面向或与熟悉的人建立视觉交流 5 次（TO：30 分钟）","以上行为均未观察到"
"77","Level 1 (0-18月)","Social(社交)","Social 2","2 次表达他要别人抱她或想玩身体接触之类的游戏（如：爬到妈妈的腿上）（TO：60 分钟）","","0-18月","是","2 次表达他要别人抱她或想玩身体接触之类的游戏（如：爬到妈妈的腿上）（TO：60 分钟）","(2-a) 在身体接触游戏中能微笑或大笑达 5 次; (2-b) 参与和在互动性社会游戏中微笑达 2 次（如：烤馅饼、躲猫猫）; (2-c) 用注视、声音或手势寻求大人的关注达 3 次（如：指）（TO：60 分钟）","以上行为均未观察到"
"78","Level 1 (0-18月)","Social(社交)","Social 3","自发地看（扫视）其他孩子达 5 次（TO：30 分钟）","","0-18月","是","自发地看（扫视）其他孩子达 5 次（TO：30 分钟）","(3-a) 从一个大人那里拿一个想要的物品达 3 次（如：当给玩具时能拿玩具）; (3-b) 积极地接近其他的孩子达 2 次（可以是兄弟姐妹）; (3-c) 以眼神交流 2 秒来回应他人的问候达 2 次","以上行为均未观察到"
"79","Level 1 (0-18月)","Social(社交)","Social 4","自发地在其他孩子的周围进行平行游戏 2 分钟（如：靠近其他孩子坐在沙箱旁）（TO：30 分钟）","","0-18月","是","自发地在其他孩子的周围进行平行游戏 2 分钟（如：靠近其他孩子坐在沙箱旁）（TO：30 分钟）","(4-a) 在大人的辅助下接近其他儿童达 2 次（TO：30 分钟）; (4-b) 在集体活动中适当地站在其他儿童的附近 2 次（TO：30 分钟）; (4-c) 在辅助下对他人模仿挥手“拜拜”2 次; (4-d) 在大人辅助下，在集体活动中坐在其他孩子的旁边 2 次","以上行为均未观察到"
"80","Level 1 (0-18月)","Social(社交)","Social 5","自发地跟随同伴或模仿他们的大动作 2 次（如：跟随同伴到游戏室去）（TO：30 分钟）","","0-18月","是","自发地跟随同伴或模仿他们的大动作 2 次（如：跟随同伴到游戏室去）（TO：30 分钟）","(5-a) 自发地跟随其他的孩子 2 次; (5-b) 自发地模仿其他孩子的行为 2 次; (5-c) 在其他的人做出傻傻的、有乐趣的或令人愉快的行为时大笑或微笑达 2 次","以上行为均未观察到"
"81","Level 2 (18-30月)","Social(社交)","Social 6","发起与同伴形体互动达 2 次（TO:30 分钟）","","18-30月","是","发起与同伴形体互动达 2 次（TO:30 分钟）","(6-a) 当同伴说话时，看着他们 2 次; (6-b) 在大人辅助下在游戏中追逐同伴 2 次; (6-c) 在集体活动中（如：音乐）与同伴坐在一起，没有破坏性行为 2 分钟; (6-d) 在大人辅助下与同伴进行体能活动（如：从一个小丘上冲下来）2 次; (6-e) 自发地模仿同伴的 5 个不同的行为（O ）","以上行为均未观察到"
"82","Level 2 (18-30月)","Social(社交)","Social 7","自发地向同伴提要求达 5 次（如该我了、推我呀、看哪，过来）太黑了","","18-30月","是","自发地向同伴提要求达 5 次（如该我了、推我呀、看哪，过来）太黑了","(7-a) 再大人辅助下向同伴提要求 5 次（如：向凯迪要一块饼干）; (7-b) 在大人辅助下仿说同伴的声音或语调 2 次（如：他说什么）; (7-c) 在游戏活动中，自发地加入其它的儿童 2 次（如：游戏室）; (7-d) 自发地给同伴一个强化物 1 次","以上行为均未观察到"
